id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1,130,1,4
2,156,1,3
3,28,1,2
4,76,0,1
5,130,0,3
6,25,0,4
7,156,0,1
8,130,3,6
9,76,0,1
10,25,0,4
11,21,0,1
12,163,0,4
13,41,1,3
14,225,1,6
15,10,2,4
16,21,0,3
17,155,0,3
18,215,1,6
19,76,2,3
20,163,1,2
21,21,2,5
22,66,2,4
23,28,1,3
24,10,2,3
25,140,2,3
26,94,1,2
27,195,2,3
28,194,1,2
29,189,1,1
30,189,0,1
31,81,1,3
32,14,0,1
33,14,2,3
34,54,1,2
35,215,2,0
36,76,2,1
37,81,2,6
38,50,0,2
39,50,2,2
40,50,1,6
41,101,4,2
42,66,4,1
43,189,1,7
44,225,3,1
45,159,1,1
46,130,6,0
47,81,1,7
48,112,1,4
49,54,4,4
50,71,0,4
51,71,6,1
52,194,9,1
53,149,2,3
54,118,0,5
55,112,1,4
56,119,2,5
57,101,4,1
58,225,2,1
59,71,1,2
60,75,0,9
61,81,1,1
62,158,5,6
63,163,3,3
64,140,0,3
65,21,1,3
66,62,0,6
67,149,1,2
68,163,1,2
69,81,2,4
70,54,1,1
71,195,0,2
72,76,1,3
73,50,0,8
74,54,1,2
75,194,1,5
76,28,1,2
77,94,2,4
78,194,2,4
79,140,2,4
80,50,1,2
81,215,1,1
82,174,1,0
83,222,2,0
84,75,1,4
85,100,0,5
86,119,3,3
87,196,2,4
88,50,5,1
89,130,0,4
90,68,2,3
91,76,0,4
92,76,2,7
93,102,0,4
94,130,0,4
95,41,0,2
96,103,2,3
97,195,0,3
98,195,2,2
99,130,1,4
100,41,0,2
101,155,2,2
102,225,0,2
103,155,0,2
104,68,0,1
105,130,1,2
106,25,0,8
107,194,1,7
108,189,2,2
109,189,1,6
110,194,2,3
111,189,1,3
112,28,1,2
113,41,1,1
114,215,0,6
115,189,0,1
116,68,1,11
117,159,3,2
118,215,3,1
119,68,1,2
120,148,0,1
121,119,3,0
122,76,1,1
123,91,2,9
124,174,1,1
125,81,1,1
126,166,0,3
127,14,3,1
128,31,5,2
129,54,3,2
130,149,0,2
131,222,2,6
132,21,8,2
133,75,0,2
134,68,1,8
135,83,1,3
136,102,2,5
137,174,0,1
138,130,0,5
139,54,0,2
140,76,0,1
141,21,4,4
142,103,1,2
143,54,0,5
144,225,1,1
145,130,2,3
146,174,0,7
147,195,0,2
148,21,1,4
149,103,1,4
150,195,5,7
151,68,2,4
152,28,2,4
153,217,2,4
154,217,1,3
155,225,2,5
156,186,1,3
157,83,0,1
158,41,0,7
159,155,2,5
160,28,6,0
161,155,4,1
162,14,1,1
163,94,2,3
164,206,0,6
165,206,0,2
166,225,2,2
167,215,1,0
168,81,1,5
169,225,0,0
170,57,1,9
171,21,2,3
172,76,1,4
173,42,2,7
174,159,3,8
175,14,0,9
176,75,0,7
177,25,2,2
178,41,0,2
179,140,2,1
180,76,2,1
181,95,0,0
182,10,0,2
183,41,2,1
184,156,1,3
185,94,1,5
186,149,0,3
187,130,4,2
188,215,3,3
189,10,0,1
190,25,0,8
191,97,0,1
192,155,4,0
193,217,5,3
194,51,0,4
195,86,6,1
196,130,0,8
197,47,3,1
198,86,1,1
199,77,3,2
200,222,0,0
201,68,1,3
202,100,1,0
203,100,0,0
204,158,3,3
205,211,3,2
206,95,0,4
207,54,4,1
208,222,0,1
209,163,0,1
210,225,0,1
211,47,1,4
212,51,2,0
213,31,3,1
214,68,1,0
215,148,3,2
216,140,2,0
217,36,1,0
218,47,1,5
219,215,5,1
220,14,1,0
221,119,1,3
222,159,1,0
223,31,0,4
224,94,3,1
225,43,4,2
226,217,2,2
227,28,1,4
228,211,0,1
229,103,2,2
230,148,0,3
231,83,4,0
232,225,2,1
233,163,0,7
234,42,0,2
235,149,1,6
236,14,0,3
237,155,3,7
238,222,1,1
239,54,0,1
240,130,0,3
241,174,1,1
242,148,1,3
243,68,0,0
244,174,2,3
245,14,0,2
246,76,2,3
247,94,1,2
248,211,0,2
249,10,1,6
250,14,2,2
251,174,1,2
252,130,0,4
253,222,0,0
254,54,1,2
255,68,0,1
256,94,1,2
257,222,0,1
258,148,0,4
259,211,0,2
260,76,2,5
261,194,2,5
262,211,2,5
263,81,2,3
264,10,3,6
265,54,1,2
266,148,0,4
267,225,0,4
268,222,0,0
269,103,3,8
270,81,0,2
271,102,0,3
272,130,0,1
273,155,2,1
274,65,0,7
275,195,3,0
276,86,1,5
277,92,2,0
278,102,1,2
279,63,3,4
280,61,3,2
281,10,1,1
282,76,0,4
283,31,1,3
284,145,1,1
285,81,2,1
286,47,0,2
287,92,1,3
288,47,0,2
289,86,4,1
290,52,2,0
291,68,1,5
292,215,3,1
293,205,10,0
294,82,0,8
295,81,4,1
296,105,1,2
297,21,2,1
298,135,0,0
299,130,6,2
300,119,2,2
301,54,1,3
302,100,2,2
303,225,2,2
304,194,1,1
305,194,3,3
306,206,3,6
307,194,3,1
308,217,1,4
309,75,0,5
310,76,5,2
311,76,5,1
312,156,0,2
313,61,0,0
314,92,1,1
315,130,0,1
316,100,0,3
317,174,3,0
318,174,5,2
319,47,0,2
320,130,0,2
321,119,0,6
322,159,1,1
323,102,1,4
324,31,1,2
325,75,0,3
326,94,0,5
327,140,1,1
328,83,0,3
329,148,2,1
330,135,0,4
331,148,1,2
332,77,0,3
333,140,1,1
334,54,0,3
335,174,1,1
336,72,2,4
337,103,2,3
338,102,1,2
339,186,0,3
340,159,0,2
341,47,1,4
342,61,2,2
343,155,0,1
344,82,2,1
345,189,4,1
346,205,1,1
347,94,3,2
348,83,7,2
349,206,0,2
350,211,0,1
351,130,0,1
352,43,1,4
353,225,1,4
354,68,0,2
355,135,2,0
356,222,1,2
357,21,0,2
358,149,0,1
359,195,1,3
360,31,0,1
361,130,0,2
362,195,1,3
363,43,1,2
364,189,0,1
365,68,1,2
366,225,0,2
367,54,0,0
368,103,0,2
369,10,1,3
370,217,1,3
371,31,1,6
372,130,0,1
373,43,4,4
374,189,1,2
375,10,0,0
376,217,1,2
377,31,0,0
