id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1,77,4,1
2,164,3,1
3,226,2,1
4,10,1,0
5,41,3,0
6,226,4,0
7,218,1,0
8,10,6,3
9,41,1,0
10,28,4,0
11,156,1,0
12,218,4,0
13,10,3,1
14,218,6,1
15,218,4,2
16,14,3,2
17,54,2,1
18,82,5,2
19,95,4,2
20,190,3,1
21,195,3,2
22,196,3,2
23,14,2,1
24,54,3,2
25,82,2,1
26,104,1,1
27,104,1,0
28,54,3,1
29,104,1,0
30,82,3,2
31,104,2,1
32,141,7,1
33,66,3,0
34,92,3,0
35,104,0,2
36,120,1,2
37,120,6,2
38,131,2,0
39,131,2,2
40,92,6,1
41,196,1,1
42,28,6,5
43,50,3,3
44,54,3,0
45,77,3,1
46,95,6,0
47,104,2,1
48,50,2,1
49,196,4,2
50,28,1,1
51,95,2,0
52,104,3,1
53,195,8,0
54,28,2,1
55,95,5,1
56,104,2,1
57,104,4,2
58,28,4,2
59,21,1,3
60,54,1,1
61,84,0,6
62,95,4,1
63,120,4,4
64,150,6,1
65,153,4,0
66,159,2,4
67,195,1,4
68,195,7,1
69,196,1,6
70,226,1,9
71,28,4,0
72,68,2,0
73,195,3,2
74,226,3,0
75,28,2,2
76,226,4,1
77,190,2,0
78,195,2,2
79,28,2,0
80,104,2,0
81,190,1,0
82,196,2,1
83,218,8,0
84,28,7,1
85,218,2,2
86,28,6,1
87,218,3,2
88,195,3,1
89,218,2,1
90,50,3,2
91,50,5,0
92,68,4,1
93,76,5,2
94,77,1,4
95,101,1,2
96,101,2,1
97,103,9,0
98,120,4,2
99,131,2,1
100,131,1,1
101,149,0,1
102,175,0,2
103,195,4,1
104,195,5,0
105,196,3,3
106,207,4,2
107,216,1,5
108,216,4,0
109,223,3,2
110,226,4,0
111,226,7,2
112,226,4,0
113,14,1,0
114,28,5,0
115,218,2,0
116,226,1,0
117,68,4,4
118,196,2,1
119,14,5,0
120,28,1,1
121,77,3,2
122,218,7,0
123,68,2,0
124,104,4,1
125,196,4,1
126,14,7,5
127,218,4,2
128,95,4,2
129,95,4,2
130,14,3,1
131,103,3,1
132,104,1,0
133,120,5,2
134,73,6,0
135,73,1,1
136,73,5,2
137,73,1,1
138,73,3,2
139,76,6,0
140,76,1,0
141,77,11,1
142,77,2,3
143,84,1,3
144,92,2,1
145,95,0,6
146,95,7,0
147,101,1,0
148,101,0,3
149,120,1,1
150,131,9,2
151,149,1,1
152,150,1,1
153,150,3,0
154,160,1,3
155,164,2,5
156,164,2,3
157,167,2,0
158,175,6,2
159,195,2,8
160,195,2,0
161,207,1,4
162,216,2,0
163,223,8,1
164,223,2,2
165,226,3,1
166,226,5,2
167,28,3,0
168,77,7,3
169,95,1,1
170,149,1,0
171,195,3,0
172,226,1,1
173,10,3,1
174,28,0,0
175,156,3,2
176,212,2,0
177,226,3,2
178,195,2,1
179,28,2,0
180,54,6,1
181,68,2,2
182,77,2,1
183,95,4,0
184,195,0,0
185,149,2,1
186,212,1,0
187,223,2,1
188,28,1,0
189,77,4,0
190,195,2,0
191,28,5,2
192,28,5,2
193,159,3,2
194,95,9,0
195,96,4,1
196,96,8,3
197,98,7,0
198,98,7,2
199,10,2,2
200,10,2,0
201,14,0,1
202,14,1,2
203,21,1,2
204,21,0,0
205,25,2,0
206,25,1,2
207,28,3,1
208,31,5,1
209,31,3,0
210,36,2,4
211,36,3,3
212,41,1,0
213,41,8,0
214,42,1,0
215,43,0,4
216,43,3,5
217,47,4,0
218,47,1,6
219,47,8,0
220,51,1,3
221,51,1,1
222,54,2,3
223,54,0,0
224,57,3,1
225,57,0,1
226,68,5,1
227,68,0,0
228,68,3,2
229,73,5,2
230,73,6,3
231,73,2,1
232,73,0,0
233,76,3,3
234,76,2,3
235,77,0,0
236,77,2,0
237,77,4,0
238,78,1,4
239,78,1,0
240,84,1,0
241,101,9,1
242,103,3,0
243,149,1,0
244,159,1,0
245,160,4,1
246,160,0,2
247,164,1,3
248,164,0,1
249,175,2,3
250,175,0,2
251,190,0,1
252,190,3,1
253,192,0,1
254,195,8,3
255,196,4,0
256,196,1,3
257,197,2,4
258,212,0,1
259,212,5,1
260,212,1,5
261,216,2,2
262,216,4,1
263,218,1,0
264,218,2,2
265,223,3,0
266,223,0,4
267,223,1,2
268,223,4,0
269,226,1,2
270,226,4,0
271,226,7,0
272,150,2,0
273,156,6,1
274,10,1,0
275,28,2,0
276,41,3,1
277,218,2,1
278,54,1,0
279,95,2,1
280,212,2,0
281,28,0,0
282,41,2,0
283,68,3,1
284,226,3,1
285,95,6,1
286,190,1,0
287,212,4,4
288,28,2,1
289,95,0,0
290,212,2,1
291,68,0,0
292,104,3,0
293,131,3,1
294,226,5,0
295,28,3,1
296,41,2,1
297,54,1,0
298,28,4,2
299,54,3,1
300,41,1,0
301,28,3,1
302,73,2,2
303,160,3,1
304,175,2,2
305,207,3,3
306,212,2,2
307,223,1,1
308,10,7,0
309,21,1,3
310,21,0,3
311,25,4,1
312,31,5,0
313,31,2,5
314,31,1,5
315,43,2,0
316,47,0,0
317,47,5,1
318,47,0,2
319,47,1,1
320,47,1,0
321,52,2,1
322,54,3,0
323,54,0,3
324,54,2,5
325,61,2,0
326,61,4,3
327,61,2,0
328,63,2,3
329,65,1,1
330,68,6,0
331,68,1,1
332,72,4,1
333,73,3,0
334,73,1,2
335,76,2,1
336,76,4,0
337,77,3,1
