id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
1,France,Mexico,4,1,France,1930-07-13,Group,Montevideo,1930-URUGUAY
2,Romania,Peru,3,1,Romania,1930-07-14,Group,Montevideo,1930-URUGUAY
3,Yugoslavia,Brazil,2,1,Yugoslavia,1930-07-14,Group,Montevideo,1930-URUGUAY
4,Argentina,France,1,0,Argentina,1930-07-15,Group,Montevideo,1930-URUGUAY
5,Chile,Mexico,3,0,Chile,1930-07-16,Group,Montevideo,1930-URUGUAY
6,Yugoslavia,Bolivia,4,0,Yugoslavia,1930-07-17,Group,Montevideo,1930-URUGUAY
7,Uruguay,Peru,1,0,Uruguay,1930-07-18,Group,Montevideo,1930-URUGUAY
8,Argentina,Mexico,6,3,Argentina,1930-07-19,Group,Montevideo,1930-URUGUAY
9,Chile,France,1,0,Chile,1930-07-19,Group,Montevideo,1930-URUGUAY
10,Brazil,Bolivia,4,0,Brazil,1930-07-20,Group,Montevideo,1930-URUGUAY
11,Paraguay,Belgium,1,0,Paraguay,1930-07-20,Group,Montevideo,1930-URUGUAY
12,Uruguay,Romania,4,0,Uruguay,1930-07-21,Group,Montevideo,1930-URUGUAY
13,Argentina,Chile,3,1,Argentina,1930-07-22,Group,Montevideo,1930-URUGUAY
14,Uruguay,Yugoslavia,6,1,Uruguay,1930-07-27,1/2_FINAL,Montevideo,1930-URUGUAY
15,Uruguay,Argentina,4,2,Uruguay,1930-07-30,_FINAL,Montevideo,1930-URUGUAY
16,Austria,France,3,2,Austria,1934-05-27,FIRST,Torino,1934-ITALY
17,Czechoslovakia,Romania,2,1,Czechoslovakia,1934-05-27,FIRST,Trieste,1934-ITALY
18,Germany,Belgium,5,2,Germany,1934-05-27,FIRST,Firenze,1934-ITALY
19,Hungary,Egypt,4,2,Hungary,1934-05-27,FIRST,Napoli,1934-ITALY
20,Spain,Brazil,3,1,Spain,1934-05-27,FIRST,Genova,1934-ITALY
21,Sweden,Argentina,3,2,Sweden,1934-05-27,FIRST,Bologna,1934-ITALY
22,Switzerland,Netherlands,3,2,Switzerland,1934-05-27,FIRST,Milano,1934-ITALY
23,Austria,Hungary,2,1,Austria,1934-05-31,1/4_FINAL,Bologna,1934-ITALY
24,Czechoslovakia,Switzerland,3,2,Czechoslovakia,1934-05-31,1/4_FINAL,Torino,1934-ITALY
25,Germany,Sweden,2,1,Germany,1934-05-31,1/4_FINAL,Milano,1934-ITALY
26,Italy,Spain,1,1,draw,1934-05-31,1/4_FINAL,Firenze,1934-ITALY
27,Italy,Spain,1,0,Italy,1934-06-01,1/4_FINAL,Firenze,1934-ITALY
28,Czechoslovakia,Germany,3,1,Czechoslovakia,1934-06-03,1/2_FINAL,Roma,1934-ITALY
29,Italy,Austria,1,0,Italy,1934-06-03,1/2_FINAL,Milano,1934-ITALY
30,Germany,Austria,3,2,Germany,1934-06-07,PLACES_3&4,Napoli,1934-ITALY
31,Italy,Czechoslovakia,2,1,Italy,1934-06-10,_FINAL,Roma,1934-ITALY
32,Haiti,Cuba,6,1,Haiti,,1/2_FINAL,Montevideo,1934-ITALY
33,Netherlands,Irish Free State,7,1,Netherlands,,FIRST,Roma,1934-ITALY
34,Egypt,Palestine,3,0,Egypt,,Group,Montevideo,1934-ITALY
35,Haiti,Cuba,3,0,Haiti,,Group,Montevideo,1934-ITALY
36,Italy,Greece,0,2,Greece,,PRELIMINARY-Europe,Kaunas,1934-ITALY
37,Luxembourg,France,1,2,France,,PRELIMINARY-Europe,Warszawa,1934-ITALY
38,Luxembourg,Germany,6,2,Luxembourg,,PRELIMINARY-Europe,Stockholm,1934-ITALY
39,Mexico,Cuba,2,0,Mexico,,PRELIMINARY-Europe,Bern,1934-ITALY
40,Mexico,Cuba,2,2,draw,,PRELIMINARY-Europe,Beograd,1934-ITALY
