team_raw,team_clean,alias_key,team_id
France,France,france,78
Argentina,Argentina,argentina,10
Chile,Chile,chile,42
Yugoslavia (Југославија),Yugoslavia,yugoslavia,232
Brazil (Brasil),Brazil,brazil,29
Romania (România),Romania,romania,168
Uruguay,Uruguay,uruguay,222
Paraguay,Paraguay,paraguay,160
Austria (Österreich),Austria,austria,14
Germany (Deutschland),Germany,germany,83
Czechoslovakia (Československo),Czechoslovakia,czechoslovakia,55
Switzerland (Schweiz / Suisse),Switzerland,switzerland,200
Sweden (Sverige),Sweden,sweden,199
Spain (España),Spain,spain,194
Hungary (Magyarország),Hungary,hungary,96
Italy (Italia),Italy,italy,105
Egypt (مصر),Egypt,egypt,67
Haiti (Haïti),Haiti,haiti,93
Luxembourg (Lëtzebuerg),Luxembourg,luxembourg,124
Mexico (México),Mexico,mexico,135
Netherlands (Nederland),Netherlands,netherlands,145
Norway (Norge),Norway,norway,154
Poland (Polska),Poland,poland,163
Cuba,Cuba,cuba,51
Belgium (België),Belgium,belgium,21
Greece (Ελλάδα),Greece,greece,85
Palestine (فلسطين),Palestine,palestine,157
England,England,england,69
Finland (Suomi),Finland,finland,77
Ireland (Éire),Ireland,ireland,102
Israel (ישראל),Israel,israel,104
Northern Ireland (Ulster),Northern Ireland,northernireland,153
Scotland,Scotland,scotland,179
Turkey (Türkiye),Turkey,turkey,211
USA,USA,usa,220
Wales (Cymru),Wales,wales,229
FRG (BRD / Westdeutschland),FRG,frg,74
Portugal,Portugal,portugal,164
Saarland,Saarland,saarland,171
Bolivia,Bolivia,bolivia,25
Bulgaria (България),Bulgaria,bulgaria,32
Canada,Canada,canada,37
China (中国),China,china,43
Colombia,Colombia,colombia,44
Costa Rica,Costa Rica,costarica,48
Curaçao,Curaçao,curacao,52
Denmark (Danmark),Denmark,denmark,58
GDR (DDR / Ostdeutschland),GDR,gdr,79
Iceland (Ísland),Iceland,iceland,97
Indonesia,Indonesia,indonesia,99
Soviet Union (СССР),Soviet Union,sovietunion,216
Sudan (السودان),Sudan,sudan,196
Syria (سوريا),Syria,syria,201
Cyprus (Κύπρος),Cyprus,cyprus,53
Dutch Antilles (Nederlandse Antillen),Dutch Antilles,dutchantilles,62
Dutch Guyana (Nederlands Guyana),Dutch Guyana,dutchguyana,64
Ecuador,Ecuador,ecuador,66
Ghana,Ghana,ghana,84
Guatemala,Guatemala,guatemala,88
Honduras,Honduras,honduras,94
Morocco (المغرب),Morocco,morocco,140
Nigeria,Nigeria,nigeria,150
South Korea (한국),South Korea,southkorea,191
Tunisia (تونس),Tunisia,tunisia,210
Ethiopia (ኢትዮጵያ),Ethiopia,ethiopia,73
Japan (日本),Japan,japan,108
Peru (Perú),Peru,peru,161
Albania (Shqipëri),Albania,albania,2
Australia,Australia,australia,13
Jamaica,Jamaica,jamaica,107
North Korea (조선),North Korea,northkorea,151
Bermuda,Bermuda,bermuda,24
Cameroon (Cameroun),Cameroon,cameroon,36
El Salvador,El Salvador,elsalvador,68
