team_id,team_canonical
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antigua
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bolivia
26,Bosnia and Herzegovina
27,Bosnia-Herzegovina
28,Botswana
29,Brazil
30,British Virgin Islands
31,Brunei
32,Bulgaria
33,Burkina Faso
34,Burundi
35,Cambodia
36,Cameroon
37,Canada
38,Cape Verde
39,Cayman Islands
40,Central African Republic
41,Chad
42,Chile
43,China
44,Colombia
45,Comoros
46,Congo
47,Cook Islands
48,Costa Rica
49,Croatia
50,Cte d'Ivoire
51,Cuba
52,Curacao
53,Cyprus
54,Czech Republic
55,Czechoslovakia
56,D.R. Congo
57,Dahomey
58,Denmark
59,Djibouti
60,Dominica
61,Dominican Republic
62,Dutch Antilles
63,Dutch East Indies
64,Dutch Guyana
65,East Timor
66,Ecuador
67,Egypt
68,El Salvador
69,England
70,Equatorial Guinea
71,Eritrea
72,Estonia
73,Ethiopia
74,FRG
75,Faroe Islands
76,Fiji
77,Finland
78,France
79,GDR
80,Gabon
81,Gambia
82,Georgia
83,Germany
84,Ghana
85,Greece
86,Grenada
87,Guam
88,Guatemala
89,Guayana
90,Guinea
91,Guinea-Bissau
92,Guyana
93,Haiti
94,Honduras
95,Hong Kong
96,Hungary
97,Iceland
98,India
99,Indonesia
100,Iran
101,Iraq
102,Ireland
103,Irish Free State
104,Israel
105,Italy
106,Ivory Coast
107,Jamaica
108,Japan
109,Jordan
110,Kazakhstan
111,Kenya
112,Kuwait
113,Kyrgyzstan
114,LOSER X
115,LOSER Y
116,Laos
117,Latvia
118,Lebanon
119,Lesotho
120,Liberia
121,Libya
122,Liechtenstein
123,Lithuania
124,Luxembourg
125,Macao
126,Macedonia
127,Madagascar
128,Malawi
129,Malaysia
130,Maldives
131,Mali
132,Malta
133,Mauritania
134,Mauritius
135,Mexico
136,Moldova
137,Mongolia
138,Montenegro
139,Montserrat
140,Morocco
141,Mozambique
142,Myanmar
143,Namibia
144,Nepal
145,Netherlands
146,New Caledonia
147,New Zealand
148,Nicaragua
149,Niger
150,Nigeria
151,North Korea
152,North Yemen
153,Northern Ireland
154,Norway
155,Oman
156,Pakistan
157,Palestine
158,Panama
159,Papua New Guinea
160,Paraguay
161,Peru
162,Philippines
163,Poland
164,Portugal
165,Puerto Rico
166,Qatar
167,Rhodesia
168,Romania
169,Russia
170,Rwanda
171,Saarland
172,Saint Kitts & Nevis
173,Saint Lucia
174,Saint Vincent & The Grenadines
175,Samoa
176,San Marino
177,Sao Tome e Principe
178,Saudi Arabia
179,Scotland
180,Senegal
181,Serbia
182,Serbia-Montenegro
183,Seychelles
184,Sierra Leone
185,Singapore
186,Slovakia
187,Slovenia
188,Solomon Islands
189,Somalia
190,South Africa
191,South Korea
192,South Vietnam
193,South Yemen
194,Spain
195,Sri Lanka
196,Sudan
197,Surinam
198,Swaziland
199,Sweden
200,Switzerland
201,Syria
202,Tahiti
203,Taiwan
204,Tajikistan
205,Tanzania
206,Thailand
207,Togo
208,Tonga
209,Trinidad and Tobago
210,Tunisia
211,Turkey
212,Turkmenistan
213,Turks and Caicos
214,Tuvalu
215,US Virgin Islands
216,USSR
217,Uganda
218,Ukraine
219,United Arab Emirates
220,United States
221,Upper Volta
222,Uruguay
223,Uzbekistan
224,Vanuatu
225,Venezuela
226,Vietnam
227,WINNER X
228,WINNER Y
229,Wales
230,Western Samoa
231,Yemen
232,Yugoslavia
233,Zaire
234,Zambia
235,Zimbabwe
