home_team,away_team,home_result,away_result,date,round,city,edition
France,Mexico (México),4.0,1.0,1930-01-01,GROUP_STAGE,Montevideo,1930
USA,Belgium (België),3.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Yugoslavia (Југославија),Brazil (Brasil),2.0,1.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Romania (România),Peru (Perú),3.0,1.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Argentina,France,1.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Chile,Mexico (México),3.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Yugoslavia (Југославија),Bolivia,4.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
USA,Paraguay,3.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Uruguay,Peru (Perú),1.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Chile,France,1.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Argentina,Mexico (México),6.0,3.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Brazil (Brasil),Bolivia,4.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Paraguay,Belgium (België),1.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Uruguay,Romania (România),4.0,0.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Argentina,Chile,3.0,1.0,1930-01-01,GROUP_STAGE,Montevideo,1930
Argentina,USA,6.0,1.0,1930-01-01,1/2_FINAL,Montevideo,1930
Uruguay,Yugoslavia (Југославија),6.0,1.0,1930-01-01,1/2_FINAL,Montevideo,1930
Uruguay,Argentina,4.0,2.0,1930-01-01,_FINAL,Montevideo,1930
Sweden (Sverige),Estonia (Eesti),6.0,2.0,1933-01-01,PRELIMINARY-Europe,Stockholm,1933
Lithuania (Lietuva),Sweden (Sverige),0.0,2.0,1933-01-01,PRELIMINARY-Europe,Kaunas,1933
Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),2.0,2.0,1933-01-01,PRELIMINARY-Europe,Beograd,1933
Poland (Polska),Czechoslovakia (Československo),1.0,2.0,1933-01-01,PRELIMINARY-Europe,Warszawa,1933
Switzerland (Schweiz / Suisse),Romania (România),2.0,0.0,1933-01-01,PRELIMINARY-Europe,Bern,1933
Haiti (Haïti),Cuba,1.0,3.0,1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1934
Haiti (Haïti),Cuba,1.0,1.0,1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1934
Haiti (Haïti),Cuba,0.0,6.0,1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1934
Irish Free State (Saorstát Éireann),Belgium (België),4.0,4.0,1934-01-01,PRELIMINARY-Europe,Dublin,1934
Mexico (México),Cuba,3.0,2.0,1934-01-01,PRELIMINARY-N/C.America,México D.F,1934
Spain (España),Portugal,9.0,0.0,1934-01-01,PRELIMINARY-Europe,Madrid,1934
Luxembourg (Lëtzebuerg),Germany (Deutschland),1.0,9.0,1934-01-01,PRELIMINARY-Europe,Luxembourg,1934
Mexico (México),Cuba,5.0,0.0,1934-01-01,PRELIMINARY-N/C.America,México D.F,1934
Egypt (مصر),Palestine (فلسطين),7.0,1.0,1934-01-01,PRELIMINARY-N.E.,Cairo,1934
Portugal,Spain (España),1.0,2.0,1934-01-01,PRELIMINARY-Europe,Lisboa,1934
Mexico (México),Cuba,4.0,1.0,1934-01-01,PRELIMINARY-N/C.America,México D.F,1934
Italy (Italia),Greece (Ελλάδα),4.0,0.0,1934-01-01,PRELIMINARY-Europe,Milano,1934
Bulgaria (България),Hungary (Magyarország),1.0,4.0,1934-01-01,PRELIMINARY-Europe,Sofija,1934
Palestine (فلسطين),Egypt (مصر),1.0,4.0,1934-01-01,PRELIMINARY-N.E.,Jerusalem,1934
Netherlands (Nederland),Irish Free State (Saorstát Éireann),5.0,2.0,1934-01-01,PRELIMINARY-Europe,Amsterdam,1934
Luxembourg (Lëtzebuerg),France,1.0,6.0,1934-01-01,PRELIMINARY-Europe,Luxembourg,1934
Austria (Österreich),Bulgaria (България),6.0,1.0,1934-01-01,PRELIMINARY-Europe,Wien,1934
Hungary (Magyarország),Bulgaria (България),4.0,1.0,1934-01-01,PRELIMINARY-Europe,Budapest,1934
Romania (România),Yugoslavia (Југославија),2.0,1.0,1934-01-01,PRELIMINARY-Europe,Bucureşti,1934
Belgium (België),Netherlands (Nederland),2.0,4.0,1934-01-01,PRELIMINARY-Europe,Antwerpen,1934
USA,Mexico (México),4.0,2.0,1934-01-01,PRELIMINARY-N/C.America,Roma,1934
Italy (Italia),USA,7.0,1.0,1934-01-01,FIRST,Roma,1934
Austria (Österreich),France,3.0,2.0,1934-01-01,FIRST,Torino,1934
Germany (Deutschland),Belgium (België),5.0,2.0,1934-01-01,FIRST,Firenze,1934
Czechoslovakia (Československo),Romania (România),2.0,1.0,1934-01-01,FIRST,Trieste,1934
Switzerland (Schweiz / Suisse),Netherlands (Nederland),3.0,2.0,1934-01-01,FIRST,Milano,1934
Sweden (Sverige),Argentina,3.0,2.0,1934-01-01,FIRST,Bologna,1934
Spain (España),Brazil (Brasil),3.0,1.0,1934-01-01,FIRST,Genova,1934
Hungary (Magyarország),Egypt (مصر),4.0,2.0,1934-01-01,FIRST,Napoli,1934
Austria (Österreich),Hungary (Magyarország),2.0,1.0,1934-01-01,1/4_FINAL,Bologna,1934
Czechoslovakia (Československo),Switzerland (Schweiz / Suisse),3.0,2.0,1934-01-01,1/4_FINAL,Torino,1934
Germany (Deutschland),Sweden (Sverige),2.0,1.0,1934-01-01,1/4_FINAL,Milano,1934
Italy (Italia),Spain (España),1.0,1.0,1934-01-01,1/4_FINAL,Firenze,1934
Italy (Italia),Spain (España),1.0,0.0,1934-01-01,1/4_FINAL,Firenze,1934
Italy (Italia),Austria (Österreich),1.0,0.0,1934-01-01,1/2_FINAL,Milano,1934
Czechoslovakia (Československo),Germany (Deutschland),3.0,1.0,1934-01-01,1/2_FINAL,Roma,1934
Germany (Deutschland),Austria (Österreich),3.0,2.0,1934-01-01,PLACES_3&4,Napoli,1934
Italy (Italia),Czechoslovakia (Československo),2.0,1.0,1934-01-01,_FINAL,Roma,1934
Sweden (Sverige),Finland (Suomi),4.0,0.0,1937-01-01,PRELIMINARY-Europe,Stockholm,1937
Sweden (Sverige),Estonia (Eesti),7.0,2.0,1937-01-01,PRELIMINARY-Europe,Stockholm,1937
Finland (Suomi),Germany (Deutschland),0.0,2.0,1937-01-01,PRELIMINARY-Europe,Helsinki,1937
Latvia (Latvija),Lithuania (Lietuva),4.0,2.0,1937-01-01,PRELIMINARY-Europe,Rīga,1937
Finland (Suomi),Estonia (Eesti),0.0,1.0,1937-01-01,PRELIMINARY-Europe,Turku,1937
Germany (Deutschland),Estonia (Eesti),4.0,1.0,1937-01-01,PRELIMINARY-Europe,Königsberg,1937
Lithuania (Lietuva),Latvia (Latvija),1.0,5.0,1937-01-01,PRELIMINARY-Europe,Kaunas,1937
