home_team,away_team,home_result,away_result,date,round,city,edition
Qatar,Ecuador,0,2,2022-11-20,Group,Al Khor,2022
Senegal,Netherlands,0,2,2022-11-21,Group,Doha,2022
Qatar,Senegal,1,3,2022-11-25,Group,Doha,2022
Netherlands,Ecuador,1,1,2022-11-25,Group,Al Rayyan,2022
Ecuador,Senegal,1,2,2022-11-29,Group,Al Rayyan,2022
Netherlands,Qatar,2,0,2022-11-29,Group,Al Khor,2022
England,Iran,6,2,2022-11-21,Group,Al Rayyan,2022
United States,Wales,1,1,2022-11-21,Group,Al Rayyan,2022
Wales,Iran,0,2,2022-11-25,Group,Al Rayyan,2022
England,United States,0,0,2022-11-25,Group,Al Khor,2022
Wales,England,0,3,2022-11-29,Group,Al Rayyan,2022
Iran,United States,0,1,2022-11-29,Group,Doha,2022
Argentina,Saudi Arabia,1,2,2022-11-22,Group,Lusail,2022
Mexico,Poland,0,0,2022-11-22,Group,Doha,2022
Poland,Saudi Arabia,2,0,2022-11-26,Group,Al Rayyan,2022
Argentina,Mexico,2,0,2022-11-26,Group,Lusail,2022
Poland,Argentina,0,2,2022-11-30,Group,Doha,2022
Saudi Arabia,Mexico,1,2,2022-11-30,Group,Lusail,2022
Denmark,Tunisia,0,0,2022-11-22,Group,Al Rayyan,2022
France,Australia,4,1,2022-11-22,Group,Al Wakrah,2022
Tunisia,Australia,0,1,2022-11-26,Group,Al Wakrah,2022
France,Denmark,2,1,2022-11-26,Group,Doha,2022
Australia,Denmark,1,0,2022-11-30,Group,Al Wakrah,2022
Tunisia,France,1,0,2022-11-30,Group,Al Rayyan,2022
Germany,Japan,1,2,2022-11-23,Group,Al Rayyan,2022
Spain,Costa Rica,7,0,2022-11-23,Group,Doha,2022
Japan,Costa Rica,0,1,2022-11-27,Group,Al Rayyan,2022
Spain,Germany,1,1,2022-11-27,Group,Al Khor,2022
Japan,Spain,2,1,2022-12-01,Group,Al Rayyan,2022
Costa Rica,Germany,2,4,2022-12-01,Group,Al Khor,2022
Morocco,Croatia,0,0,2022-11-23,Group,Al Khor,2022
Belgium,Canada,1,0,2022-11-23,Group,Al Rayyan,2022
Belgium,Morocco,0,2,2022-11-27,Group,Doha,2022
Croatia,Canada,4,1,2022-11-27,Group,Al Rayyan,2022
Croatia,Belgium,0,0,2022-12-01,Group,Al Rayyan,2022
Canada,Morocco,1,2,2022-12-01,Group,Doha,2022
Switzerland,Cameroon,1,0,2022-11-24,Group,Al Wakrah,2022
Brazil,Serbia,2,0,2022-11-24,Group,Lusail,2022
Cameroon,Serbia,3,3,2022-11-28,Group,Al Wakrah,2022
Brazil,Switzerland,1,0,2022-11-28,Group,Doha,2022
Serbia,Switzerland,2,3,2022-12-02,Group,Doha,2022
Cameroon,Brazil,1,0,2022-12-02,Group,Lusail,2022
Uruguay,South Korea,0,0,2022-11-24,Group,Al Rayyan,2022
Portugal,Ghana,3,2,2022-11-24,Group,Doha,2022
South Korea,Ghana,2,3,2022-11-28,Group,Al Rayyan,2022
Portugal,Uruguay,2,0,2022-11-28,Group,Lusail,2022
Ghana,Uruguay,0,2,2022-12-02,Group,Al Wakrah,2022
South Korea,Portugal,2,1,2022-12-02,Group,Lusail,2022
Netherlands,United States,3,1,2022-12-03,Round of 16,Al Rayyan,2022
Argentina,Australia,2,1,2022-12-03,Round of 16,Al Rayyan,2022
France,Poland,3,1,2022-12-04,Round of 16,Doha,2022
England,Senegal,3,0,2022-12-04,Round of 16,Al Khor,2022
Japan,"(1-1, 1-0)  Croatia",1,1,2022-12-05,Round of 16,Al Wakrah,2022
Brazil,South Korea,4,1,2022-12-05,Round of 16,Doha,2022
Morocco,"(0-0, 0-0)   Spain",0,0,2022-12-06,Round of 16,Al Rayyan,2022
Portugal,Switzerland,6,1,2022-12-06,Round of 16,Lusail,2022
Croatia,"(0-0, 0-0)   Brazil",1,1,2022-12-09,Quarter-finals,Al Rayyan,2022
Netherlands,"(2-2, 1-0)        Argentina",2,2,2022-12-09,Quarter-finals,Lusail,2022
Morocco,Portugal,1,0,2022-12-10,Quarter-finals,Doha,2022
England,France,1,2,2022-12-10,Quarter-finals,Al Khor,2022
Argentina,Croatia,3,0,2022-12-13,Semi-finals,Lusail,2022
France,Morocco,2,0,2022-12-14,Semi-finals,Al Khor,2022
Croatia,Morocco,2,1,2022-12-17,Match for third place,Al Rayyan,2022
Argentina,"(2-2, 2-0)   France",3,3,2022-12-18,Final,Lusail,2022
