id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
1,Argentina,USA,6.0,1.0,Argentina,1930-01-01,1/2_FINAL,Montevideo,1930
2,USA,Belgium (België),3.0,0.0,USA,1930-01-01,GROUP_STAGE,Montevideo,1930
3,USA,Paraguay,3.0,0.0,USA,1930-01-01,GROUP_STAGE,Montevideo,1930
4,France,Mexico (México),4.0,1.0,France,1930-07-13,GROUP_STAGE,Montevideo,1930
5,Romania (România),Peru (Perú),3.0,1.0,Romania (România),1930-07-14,GROUP_STAGE,Montevideo,1930
6,Yugoslavia (Југославија),Brazil (Brasil),2.0,1.0,Yugoslavia (Југославија),1930-07-14,GROUP_STAGE,Montevideo,1930
7,Argentina,France,1.0,0.0,Argentina,1930-07-15,GROUP_STAGE,Montevideo,1930
8,Chile,Mexico (México),3.0,0.0,Chile,1930-07-16,GROUP_STAGE,Montevideo,1930
9,Yugoslavia (Југославија),Bolivia,4.0,0.0,Yugoslavia (Југославија),1930-07-17,GROUP_STAGE,Montevideo,1930
10,Uruguay,Peru (Perú),1.0,0.0,Uruguay,1930-07-18,GROUP_STAGE,Montevideo,1930
11,Argentina,Mexico (México),6.0,3.0,Argentina,1930-07-19,GROUP_STAGE,Montevideo,1930
12,Chile,France,1.0,0.0,Chile,1930-07-19,GROUP_STAGE,Montevideo,1930
13,Brazil (Brasil),Bolivia,4.0,0.0,Brazil (Brasil),1930-07-20,GROUP_STAGE,Montevideo,1930
14,Paraguay,Belgium (België),1.0,0.0,Paraguay,1930-07-20,GROUP_STAGE,Montevideo,1930
15,Uruguay,Romania (România),4.0,0.0,Uruguay,1930-07-21,GROUP_STAGE,Montevideo,1930
16,Argentina,Chile,3.0,1.0,Argentina,1930-07-22,GROUP_STAGE,Montevideo,1930
17,Uruguay,Yugoslavia (Југославија),6.0,1.0,Uruguay,1930-07-27,1/2_FINAL,Montevideo,1930
18,Uruguay,Argentina,4.0,2.0,Uruguay,1930-07-30,_FINAL,Montevideo,1930
19,Lithuania (Lietuva),Sweden (Sverige),0.0,2.0,Sweden (Sverige),1933-01-01,PRELIMINARY-Europe,Kaunas,1933
20,Poland (Polska),Czechoslovakia (Československo),1.0,2.0,Czechoslovakia (Československo),1933-01-01,PRELIMINARY-Europe,Warszawa,1933
