id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,edition_year,is_placeholder_date,home_team_id,away_team_id
1,France,Mexico,4.0,1.0,France,1930-07-13,Group,Montevideo,1930-URUGUAY,1930,False,90,151
2,Romania,Peru,3.0,1.0,Romania,1930-07-14,Group,Montevideo,1930-URUGUAY,1930,False,184,177
3,Yugoslavia,Brazil,2.0,1.0,Yugoslavia,1930-07-14,Group,Montevideo,1930-URUGUAY,1930,False,248,33
4,Argentina,France,1.0,0.0,Argentina,1930-07-15,Group,Montevideo,1930-URUGUAY,1930,False,12,90
5,Chile,Mexico,3.0,0.0,Chile,1930-07-16,Group,Montevideo,1930-URUGUAY,1930,False,48,151
6,Yugoslavia,Bolivia,4.0,0.0,Yugoslavia,1930-07-17,Group,Montevideo,1930-URUGUAY,1930,False,248,29
7,Uruguay,Peru,1.0,0.0,Uruguay,1930-07-18,Group,Montevideo,1930-URUGUAY,1930,False,238,177
8,Argentina,Mexico,6.0,3.0,Argentina,1930-07-19,Group,Montevideo,1930-URUGUAY,1930,False,12,151
9,Chile,France,1.0,0.0,Chile,1930-07-19,Group,Montevideo,1930-URUGUAY,1930,False,48,90
10,Brazil,Bolivia,4.0,0.0,Brazil,1930-07-20,Group,Montevideo,1930-URUGUAY,1930,False,33,29
11,Paraguay,Belgium,1.0,0.0,Paraguay,1930-07-20,Group,Montevideo,1930-URUGUAY,1930,False,176,25
12,Uruguay,Romania,4.0,0.0,Uruguay,1930-07-21,Group,Montevideo,1930-URUGUAY,1930,False,238,184
13,Argentina,Chile,3.0,1.0,Argentina,1930-07-22,Group,Montevideo,1930-URUGUAY,1930,False,12,48
14,Uruguay,Yugoslavia,6.0,1.0,Uruguay,1930-07-27,1/2_FINAL,Montevideo,1930-URUGUAY,1930,False,238,248
15,Uruguay,Argentina,4.0,2.0,Uruguay,1930-07-30,_FINAL,Montevideo,1930-URUGUAY,1930,False,238,12
16,Haiti,Cuba,6.0,1.0,Haiti,1930-01-01,1/2_FINAL,Montevideo,1934-ITALY,1934,True,109,56
17,Egypt,Palestine,3.0,0.0,Egypt,1930-01-01,Group,Montevideo,1934-ITALY,1934,True,77,173
18,Haiti,Cuba,3.0,0.0,Haiti,1930-01-01,Group,Montevideo,1934-ITALY,1934,True,109,56
19,Italy,Greece,0.0,2.0,Greece,1933-01-01,PRELIMINARY-Europe,Kaunas,1934-ITALY,1934,True,121,99
20,Luxembourg,France,1.0,2.0,France,1933-01-01,PRELIMINARY-Europe,Warszawa,1934-ITALY,1934,True,140,90
21,Luxembourg,Germany,6.0,2.0,Luxembourg,1933-01-01,PRELIMINARY-Europe,Stockholm,1934-ITALY,1934,True,140,97
22,Mexico,Cuba,2.0,0.0,Mexico,1933-01-01,PRELIMINARY-Europe,Bern,1934-ITALY,1934,True,151,56
23,Mexico,Cuba,2.0,2.0,draw,1933-01-01,PRELIMINARY-Europe,Beograd,1934-ITALY,1934,True,151,56
24,Netherlands,Irish Free State,7.0,1.0,Netherlands,1934-01-01,FIRST,Roma,1934-ITALY,1934,True,161,119
25,Austria,France,3.0,2.0,Austria,1934-05-27,FIRST,Torino,1934-ITALY,1934,False,16,90
26,Czechoslovakia,Romania,2.0,1.0,Czechoslovakia,1934-05-27,FIRST,Trieste,1934-ITALY,1934,False,60,184
27,Germany,Belgium,5.0,2.0,Germany,1934-05-27,FIRST,Firenze,1934-ITALY,1934,False,97,25
28,Hungary,Egypt,4.0,2.0,Hungary,1934-05-27,FIRST,Napoli,1934-ITALY,1934,False,112,77
29,Spain,Brazil,3.0,1.0,Spain,1934-05-27,FIRST,Genova,1934-ITALY,1934,False,210,33
30,Sweden,Argentina,3.0,2.0,Sweden,1934-05-27,FIRST,Bologna,1934-ITALY,1934,False,215,12
31,Switzerland,Netherlands,3.0,2.0,Switzerland,1934-05-27,FIRST,Milano,1934-ITALY,1934,False,216,161
32,Austria,Hungary,2.0,1.0,Austria,1934-05-31,1/4_FINAL,Bologna,1934-ITALY,1934,False,16,112
33,Czechoslovakia,Switzerland,3.0,2.0,Czechoslovakia,1934-05-31,1/4_FINAL,Torino,1934-ITALY,1934,False,60,216
34,Germany,Sweden,2.0,1.0,Germany,1934-05-31,1/4_FINAL,Milano,1934-ITALY,1934,False,97,215
35,Italy,Spain,1.0,1.0,draw,1934-05-31,1/4_FINAL,Firenze,1934-ITALY,1934,False,121,210
36,Italy,Spain,1.0,0.0,Italy,1934-06-01,1/4_FINAL,Firenze,1934-ITALY,1934,False,121,210
37,Czechoslovakia,Germany,3.0,1.0,Czechoslovakia,1934-06-03,1/2_FINAL,Roma,1934-ITALY,1934,False,60,97
38,Italy,Austria,1.0,0.0,Italy,1934-06-03,1/2_FINAL,Milano,1934-ITALY,1934,False,121,16
39,Germany,Austria,3.0,2.0,Germany,1934-06-07,PLACES_3&4,Napoli,1934-ITALY,1934,False,97,16
40,Italy,Czechoslovakia,2.0,1.0,Italy,1934-06-10,_FINAL,Roma,1934-ITALY,1934,False,121,60
41,Hungary,Greece,4.0,1.0,Hungary,1934-01-01,PRELIMINARY-Europe,Budapest,1938-FRANCE,1938,True,112,99
