id_match,home_team_id,away_team_id,home_result,away_result,result,date,round,city,edition
1,76,130,4,1,76,1930-07-13,Group,Montevideo,1930
2,163,156,3,1,163,1930-07-14,Group,Montevideo,1930
3,225,28,2,1,225,1930-07-14,Group,Montevideo,1930
4,10,76,1,0,10,1930-07-15,Group,Montevideo,1930
5,41,130,3,0,41,1930-07-16,Group,Montevideo,1930
6,225,25,4,0,225,1930-07-17,Group,Montevideo,1930
7,217,156,1,0,217,1930-07-18,Group,Montevideo,1930
8,10,130,6,3,10,1930-07-19,Group,Montevideo,1930
9,41,76,1,0,41,1930-07-19,Group,Montevideo,1930
10,28,25,4,0,28,1930-07-20,Group,Montevideo,1930
11,155,21,1,0,155,1930-07-20,Group,Montevideo,1930
12,217,163,4,0,217,1930-07-21,Group,Montevideo,1930
13,10,41,3,1,10,1930-07-22,Group,Montevideo,1930
14,217,225,6,1,217,1930-07-27,Semi-finals,Montevideo,1930
15,217,10,4,2,217,1930-07-30,Final,Montevideo,1930
16,215,21,3,0,215,,Group,Montevideo,1930
17,215,155,3,0,215,,Group,Montevideo,1930
18,10,215,6,1,10,,Semi-finals,Montevideo,1930
19,14,76,3,2,14,1934-05-27,Final,Torino,1934
20,54,163,2,1,54,1934-05-27,Final,Trieste,1934
21,81,21,5,2,81,1934-05-27,Final,Firenze,1934
22,94,66,4,2,94,1934-05-27,Final,Napoli,1934
23,189,28,3,1,189,1934-05-27,Final,Genova,1934
24,194,10,3,2,194,1934-05-27,Final,Bologna,1934
25,195,140,3,2,195,1934-05-27,Final,Milano,1934
26,14,94,2,1,14,1934-05-31,Quarter-finals,Bologna,1934
27,54,195,3,2,54,1934-05-31,Quarter-finals,Torino,1934
28,81,194,2,1,81,1934-05-31,Quarter-finals,Milano,1934
29,103,189,1,1,draw,1934-05-31,Quarter-finals,Firenze,1934
30,103,189,1,0,103,1934-06-01,Quarter-finals,Firenze,1934
31,54,81,3,1,54,1934-06-03,Semi-finals,Roma,1934
32,103,14,1,0,103,1934-06-03,Semi-finals,Milano,1934
33,81,14,3,2,81,1934-06-07,Match for third place,Napoli,1934
34,103,54,2,1,103,1934-06-10,Final,Roma,1934
35,103,215,0,2,215,,Preliminary round,Kaunas,1934
36,119,76,1,2,76,,Preliminary round,Warszawa,1934
37,119,81,6,2,119,,Preliminary round,Stockholm,1934
38,130,50,2,0,130,,Preliminary round,Bern,1934
39,130,50,2,2,draw,,Preliminary round,Beograd,1934
40,130,50,6,1,130,,Preliminary round,Wien,1934
41,140,101,2,4,101,,Preliminary round,Antwerpen,1934
42,152,66,1,4,66,,Preliminary round,Sofija,1934
43,159,189,7,1,159,,Preliminary round,Cairo,1934
44,163,225,1,3,225,,Preliminary round,Port-au-Prince,1934
45,189,159,1,1,draw,,Preliminary round,Port-au-Prince,1934
46,215,130,0,6,130,,Preliminary round,Port-au-Prince,1934
47,75,81,7,1,75,,Final,Roma,1937
48,14,112,4,1,14,,Preliminary round,Budapest,1937
49,31,54,4,4,draw,,Preliminary round,Dublin,1937
50,75,71,4,0,75,,Preliminary round,Milano,1937
51,81,71,1,6,71,,Preliminary round,Luxembourg,1937
52,81,194,1,9,194,,Preliminary round,Luxembourg,1937
53,101,149,3,2,101,,Preliminary round,Mexico D.F,1937
54,112,118,5,0,112,,Preliminary round,Mexico D.F,1937
55,118,112,4,1,118,,Preliminary round,Mexico D.F,1937
56,140,119,5,2,140,,Preliminary round,Amsterdam,1937
57,149,101,1,4,101,,Preliminary round,Jerusalem,1937
58,158,225,1,2,225,,Preliminary round,Lisboa,1937
59,194,71,2,1,194,,Preliminary round,Bucuresti,1937
60,194,75,9,0,194,,Preliminary round,Madrid,1937
61,195,81,1,1,draw,1938-06-04,Final,Paris,1938
62,28,158,6,5,28,1938-06-05,Final,Strasbourg,1938
63,50,163,3,3,draw,1938-06-05,Final,Toulouse,1938
64,54,140,3,0,54,1938-06-05,Final,Le_Havre,1938
65,76,21,3,1,76,1938-06-05,Final,Paris,1938
66,94,62,6,0,94,1938-06-05,Final,Reims,1938
67,103,149,2,1,103,1938-06-05,Final,Marseille,1938
68,50,163,2,1,50,1938-06-09,Final,Toulouse,1938
69,195,81,4,2,195,1938-06-09,Final,Paris,1938
70,28,54,1,1,draw,1938-06-12,Quarter-finals,Bordeaux,1938
71,94,195,2,0,94,1938-06-12,Quarter-finals,Lille,1938
72,103,76,3,1,103,1938-06-12,Quarter-finals,Paris,1938
73,194,50,8,0,194,1938-06-12,Quarter-finals,Antibes,1938
74,28,54,2,1,28,1938-06-14,Quarter-finals,Bordeaux,1938
75,94,194,5,1,94,1938-06-16,Semi-finals,Paris,1938
76,103,28,2,1,103,1938-06-16,Semi-finals,Marseille,1938
77,103,94,4,2,103,1938-06-19,Final,Paris,1938
78,28,194,4,2,28,1938-06-19,Match for third place,Bordeaux,1938
79,21,140,4,2,21,,Preliminary round,Roma,1938
80,130,50,2,1,130,,Preliminary round,Wien,1949
81,130,215,1,1,draw,,Preliminary round,Sofija,1949
82,148,174,0,1,174,,Preliminary round,Turku,1949
83,174,222,0,2,222,,Preliminary round,Helsinki,1949
84,194,75,4,1,194,,Preliminary round,Konigsberg,1949
85,194,100,5,0,194,,Preliminary round,Hamburg,1949
86,195,119,3,3,draw,,Preliminary round,Dublin,1949
87,206,196,4,2,206,,Preliminary round,Riga,1949
88,215,50,1,5,50,,Preliminary round,Kaunas,1949
89,215,130,4,0,215,,Preliminary round,Rotterdam,1949
90,222,68,3,2,222,,Preliminary round,Oslo,1949
91,225,76,4,0,225,,Preliminary round,Warszawa,1949
92,225,76,7,2,225,,Preliminary round,Stockholm,1949
93,225,102,4,0,225,,Preliminary round,Stockholm,1949
94,28,130,4,0,28,1950-06-24,Group,Rio de Janeiro,1950
95,68,41,2,0,68,1950-06-25,Group,Rio de Janeiro,1950
