team,team_id
"(0-0, 0-0) Brazil",1
"(0-0, 0-0) Spain",2
"(1-1, 1-0) Croatia",3
"(2-2, 1-0) Argentina",4
"(2-2, 2-0) France",5
Algeria,6
Algeria (الجزائر),7
Angola,8
Argentina,9
Australia,10
Austria (Österreich),11
Belgium,12
Belgium (België),13
Bolivia,14
Bosnia-Herzegovina (Bosna i Hercegovina),15
Brazil,16
Brazil (Brasil),17
Bulgaria (България),18
Cameroon,19
Cameroon (Cameroun),20
Canada,21
Chile,22
Colombia,23
Costa Rica,24
Croatia,25
Croatia (Hrvatska),26
Cuba,27
Czech Republic (Česká Republika),28
Czechoslovakia (Československo),29
C�te d'Ivoire,30
Denmark,31
Denmark (Danmark),32
Dutch East Indies (Nederlands-Indië),33
Ecuador,34
Egypt,35
Egypt (مصر),36
El Salvador,37
England,38
FRG (BRD / Westdeutschland),39
France,40
Germany,41
Germany (Deutschland),42
Ghana,43
Greece,44
Greece (Ελλάδα),45
Haiti (Haïti),46
Honduras,47
Hungary (Magyarország),48
IR Iran,49
Iceland,50
Iran,51
Iran (ایران),52
Iraq (العراق),53
Ireland (Éire),54
Israel (ישראל),55
Italy,56
Italy (Italia),57
Ivory Coast (Côte d'Ivoire),58
Ivory Coast (Côte d’Ivoire),59
Jamaica,60
Japan,61
Japan (日本),62
Korea Republic,63
Kuwait (الكويت),64
LOSER X,65
LOSER Y,66
Mexico,67
Mexico (México),68
Morocco,69
Morocco (المغرب),70
Netherlands,71
Netherlands (Nederland),72
New Zealand (Aotearoa),73
Nigeria,74
North Korea (조선),75
Northern Ireland (Ulster),76
Norway (Norge),77
Panama,78
Paraguay,79
Peru,80
Peru (Perú),81
Poland,82
Poland (Polska),83
Portugal,84
Qatar,85
Romania (România),86
Russia,87
Russia (Россия),88
Saudi Arabia,89
Saudi Arabia (العربية السعودية),90
Scotland,91
Senegal,92
Senegal (Sénégal),93
Serbia,94
Serbia (Србија),95
Serbia-Montenegro (Србија и Црна Гора),96
Slovakia (Slovensko),97
Slovenia (Slovenija),98
South Africa (Suid-Afrika),99
South Korea,100
South Korea (한국),101
Soviet Union (СССР),102
Spain,103
Spain (España),104
Sweden,105
Sweden (Sverige),106
Switzerland,107
Switzerland (Schweiz / Suisse),108
Togo,109
Trinidad and Tobago,110
Tunisia,111
Tunisia (تونس),112
Turkey (Türkiye),113
USA,114
Ukraine (Україна),115
United Arab Emirates (الإمارات العربية المتحدة),116
United States,117
Uruguay,118
Wales,119
Wales (Cymru),120
Yugoslavia (Југославија),121
Zaire (Zaïre),122
"rn"">Bosnia and Herzegovina",123
