team_id,n_variants,variants
29,3,Brazil
100,3,"IR Iran, Iran"
49,3,Croatia
194,3,Spain
191,3,"Korea Republic, South Korea"
21,2,Belgium
36,2,Cameroon
58,2,Denmark
106,2,Ivory Coast
85,2,Greece
83,2,Germany
105,2,Italy
78,2,France
178,2,Saudi Arabia
180,2,Senegal
199,2,Sweden
200,2,Switzerland
181,2,Serbia
210,2,Tunisia
169,2,Russia
145,2,Netherlands
166,2,Qatar
163,2,Poland
135,2,Mexico
108,2,Japan
10,2,Argentina
229,2,Wales
220,2,"USA, United States"
140,2,Morocco
3,2,Algeria
8,1,Antigua
16,1,Bahamas
17,1,Bahrain
14,1,Austria
12,1,Aruba
11,1,Armenia
9,1,Antigua and Barbuda
22,1,Belize
23,1,Benin
24,1,Bermuda
25,1,Bolivia
18,1,Bangladesh
13,1,Australia
43,1,China
42,1,Chile
41,1,Chad
40,1,Central African Republic
39,1,Cayman Islands
38,1,Cape Verde
37,1,Canada
35,1,Cambodia
51,1,Cuba
52,1,Curaçao
46,1,Congo
44,1,Colombia
47,1,Cook Islands
48,1,Costa Rica
50,1,Cte d'Ivoire
45,1,Comoros
60,1,Dominica
61,1,Dominican Republic
62,1,Dutch Antilles
63,1,Dutch East Indies
64,1,Dutch Guyana
65,1,East Timor
66,1,Ecuador
67,1,Egypt
68,1,El Salvador
69,1,England
54,1,Czech Republic
53,1,Cyprus
55,1,Czechoslovakia
56,1,D.R. Congo
57,1,Dahomey
59,1,Djibouti
75,1,Faroe Islands
74,1,FRG
73,1,Ethiopia
72,1,Estonia
71,1,Eritrea
70,1,Equatorial Guinea
79,1,GDR
77,1,Finland
82,1,Georgia
84,1,Ghana
86,1,Grenada
87,1,Guam
88,1,Guatemala
80,1,Gabon
81,1,Gambia
15,1,Azerbaijan
27,1,Bosnia-Herzegovina
26,1,Bosnia and Herzegovina
30,1,British Virgin Islands
28,1,Botswana
32,1,Bulgaria
33,1,Burkina Faso
34,1,Burundi
31,1,Brunei
19,1,Barbados
20,1,Belarus
2,1,Albania
5,1,Andorra
7,1,Anguilla
4,1,American Samoa
6,1,Angola
1,1,Afghanistan
107,1,Jamaica
104,1,Israel
102,1,Ireland
103,1,Irish Free State
101,1,Iraq
97,1,Iceland
98,1,India
99,1,Indonesia
95,1,Hong Kong
94,1,Honduras
93,1,Haiti
96,1,Hungary
92,1,Guyana
89,1,Guayana
90,1,Guinea
91,1,Guinea-Bissau
76,1,Fiji
124,1,Luxembourg
123,1,Lithuania
125,1,Macao
128,1,Malawi
129,1,Malaysia
126,1,Macedonia
110,1,Kazakhstan
116,1,Laos
117,1,Latvia
118,1,Lebanon
109,1,Jordan
112,1,Kuwait
113,1,Kyrgyzstan
114,1,LOSER X
111,1,Kenya
139,1,Montserrat
138,1,Montenegro
137,1,Mongolia
136,1,Moldova
134,1,Mauritius
143,1,Namibia
142,1,Myanmar
141,1,Mozambique
148,1,Nicaragua
149,1,Niger
150,1,Nigeria
151,1,North Korea
152,1,North Yemen
144,1,Nepal
146,1,New Caledonia
147,1,New Zealand
155,1,Oman
154,1,Norway
153,1,Northern Ireland
156,1,Pakistan
159,1,Papua New Guinea
160,1,Paraguay
130,1,Maldives
127,1,Madagascar
131,1,Mali
132,1,Malta
133,1,Mauritania
119,1,Lesotho
120,1,Liberia
121,1,Libya
122,1,Liechtenstein
115,1,LOSER Y
171,1,Saarland
170,1,Rwanda
168,1,Romania
167,1,Rhodesia
164,1,Portugal
165,1,Puerto Rico
161,1,Peru
162,1,Philippines
157,1,Palestine
158,1,Panama
179,1,Scotland
183,1,Seychelles
175,1,Samoa
177,1,São Tomé e Príncipe
182,1,Serbia-Montenegro
172,1,Saint Kitts & Nevis
187,1,Slovenia
186,1,Slovakia
185,1,Singapore
184,1,Sierra Leone
190,1,South Africa
192,1,South Vietnam
189,1,Somalia
188,1,Solomon Islands
195,1,Sri Lanka
193,1,South Yemen
197,1,Surinam
196,1,Sudan
198,1,Swaziland
176,1,San Marino
174,1,Saint Vincent & The Grenadines
173,1,Saint Lucia
203,1,Taiwan
202,1,Tahiti
201,1,Syria
204,1,Tajikistan
207,1,Togo
208,1,Tonga
206,1,Thailand
205,1,Tanzania
212,1,Turkmenistan
213,1,Turks and Caicos
214,1,Tuvalu
215,1,US Virgin Islands
216,1,Soviet Union
217,1,Uganda
209,1,Trinidad and Tobago
211,1,Turkey
219,1,United Arab Emirates
218,1,Ukraine
222,1,Uruguay
221,1,Upper Volta
224,1,Vanuatu
225,1,Venezuela
226,1,Vietnam
223,1,Uzbekistan
227,1,WINNER X
228,1,WINNER Y
230,1,Western Samoa
231,1,Yemen
232,1,Yugoslavia
233,1,Zaire
234,1,Zambia
235,1,Zimbabwe
