team_raw,team_clean,alias_key,canonical_key,team_id
France,France,france,france,77
Argentina,Argentina,argentina,argentina,10
Chile,Chile,chile,chile,41
Yugoslavia (Југославија),Yugoslavia,yugoslavia,yugoslavia,226
Brazil (Brasil),Brazil,brazil,brazil,28
Romania (România),Romania,romania,romania,164
Uruguay,Uruguay,uruguay,uruguay,218
Paraguay,Paraguay,paraguay,paraguay,156
Austria (Österreich),Austria,austria,austria,14
Germany (Deutschland),Germany,germany,germany,82
Czechoslovakia (Československo),Czechoslovakia,czechoslovakia,czechoslovakia,54
Switzerland (Schweiz / Suisse),Switzerland,switzerland,switzerland,196
Sweden (Sverige),Sweden,sweden,sweden,195
Spain (España),Spain,spain,spain,190
Hungary (Magyarország),Hungary,hungary,hungary,95
Italy (Italia),Italy,italy,italy,104
Egypt (مصر),Egypt,egypt,egypt,66
Haiti (Haïti),Haiti,haiti,haiti,92
Luxembourg (Lëtzebuerg),Luxembourg,luxembourg,luxembourg,120
Mexico (México),Mexico,mexico,mexico,131
Netherlands (Nederland),Netherlands,netherlands,netherlands,141
Norway (Norge),Norway,norway,norway,150
Poland (Polska),Poland,poland,poland,159
Cuba,Cuba,cuba,cuba,50
Belgium (België),Belgium,belgium,belgium,21
Greece (Ελλάδα),Greece,greece,greece,84
Palestine (فلسطين),Palestine,palestine,palestine,153
England,England,england,england,68
Finland (Suomi),Finland,finland,finland,76
Ireland (Éire),Ireland,ireland,ireland,101
Israel (ישראל),Israel,israel,israel,103
Northern Ireland (Ulster),Northern Ireland,northernireland,northernireland,149
Scotland,Scotland,scotland,scotland,175
Turkey (Türkiye),Turkey,turkey,turkey,207
USA,USA,usa,unitedstates,216
Wales (Cymru),Wales,wales,wales,223
FRG (BRD / Westdeutschland),FRG,frg,frg,73
Portugal,Portugal,portugal,portugal,160
Saarland,Saarland,saarland,saarland,167
Bolivia,Bolivia,bolivia,bolivia,25
Bulgaria (България),Bulgaria,bulgaria,bulgaria,31
Canada,Canada,canada,canada,36
China (中国),China,china,china,42
Colombia,Colombia,colombia,colombia,43
Costa Rica,Costa Rica,costarica,costarica,47
Curaçao,Curaçao,curacao,curacao,51
Denmark (Danmark),Denmark,denmark,denmark,57
GDR (DDR / Ostdeutschland),GDR,gdr,gdr,78
Iceland (Ísland),Iceland,iceland,iceland,96
Indonesia,Indonesia,indonesia,indonesia,98
Soviet Union (СССР),USSR,ussr,ussr,212
Sudan (السودان),Sudan,sudan,sudan,192
Syria (سوريا),Syria,syria,syria,197
Cyprus (Κύπρος),Cyprus,cyprus,cyprus,52
Dutch Antilles (Nederlandse Antillen),Dutch Antilles,dutchantilles,dutchantilles,61
Dutch Guyana (Nederlands Guyana),Dutch Guyana,dutchguyana,dutchguyana,63
Ecuador,Ecuador,ecuador,ecuador,65
Ghana,Ghana,ghana,ghana,83
Guatemala,Guatemala,guatemala,guatemala,87
Honduras,Honduras,honduras,honduras,93
Morocco (المغرب),Morocco,morocco,morocco,136
Nigeria,Nigeria,nigeria,nigeria,146
South Korea (한국),South Korea,southkorea,southkorea,187
Tunisia (تونس),Tunisia,tunisia,tunisia,206
Ethiopia (ኢትዮጵያ),Ethiopia,ethiopia,ethiopia,72
Japan (日本),Japan,japan,japan,106
Peru (Perú),Peru,peru,peru,157
Albania (Shqipëri),Albania,albania,albania,2
Australia,Australia,australia,australia,13
Jamaica,Jamaica,jamaica,jamaica,105
North Korea (조선),North Korea,northkorea,northkorea,147
Bermuda,Bermuda,bermuda,bermuda,24
Cameroon (Cameroun),Cameroon,cameroon,cameroon,35
El Salvador,El Salvador,elsalvador,elsalvador,67
Trinidad and Tobago,Trinidad and Tobago,trinidadandtobago,trinidadandtobago,205
Zambia,Zambia,zambia,zambia,227
Libya (ليبيا),Libya,libya,libya,117
New Zealand (Aotearoa),New Zealand,newzealand,newzealand,143
Senegal (Sénégal),Senegal,senegal,senegal,176
Venezuela,Venezuela,venezuela,venezuela,221
Malta,Malta,malta,malta,128
Algeria (الجزائر),Algeria,algeria,algeria,3
Antigua,Antigua,antigua,antigua,8
Congo,Congo,congo,congo,45
Dahomey,Dahomey,dahomey,dahomey,55
Guinea (Guinée),Guinea,guinea,guinea,89
Cote d Ivoire,Cote d Ivoire,cotedivoire,cotedivoire,48
Kenya,Kenya,kenya,kenya,109
Lesotho,Lesotho,lesotho,lesotho,115
Mauritius,Mauritius,mauritius,mauritius,130
Puerto Rico,Puerto Rico,puertorico,puertorico,161
Sierra Leone,Sierra Leone,sierraleone,sierraleone,180
Tanzania,Tanzania,tanzania,tanzania,201
Togo,Togo,togo,togo,203
Zaire (Zaïre),Democratic Republic of the Congo,democraticrepublicofthecongo,democraticrepublicofthecongo,56
Hong Kong (香港),Hong Kong,hongkong,hongkong,94
Iran (ایران),Iran,iran,iran,99
Iraq (العراق),Iraq,iraq,iraq,100
South Vietnam (Việt Nam),South Vietnam,southvietnam,southvietnam,188
Barbados,Barbados,barbados,barbados,19
Dominican Republic (República Dominicana),Dominican Republic,dominicanrepublic,dominicanrepublic,60
Guyana,Guyana,guyana,guyana,91
Malawi (Malaŵi),Malawi,malawi,malawi,124
Mauritania (موريتانيا),Mauritania,mauritania,mauritania,129
Niger,Niger,niger,niger,145
Panama (Panamá),Panama,panama,panama,154
Saudi Arabia (العربية السعودية),Saudi Arabia,saudiarabia,saudiarabia,174
Surinam (Suriname),Surinam,surinam,surinam,193
Upper Volta (Haute-Volta),Upper Volta,uppervolta,uppervolta,217
Bahrain (البحرين),Bahrain,bahrain,bahrain,17
Kuwait (الكويت),Kuwait,kuwait,kuwait,110
Qatar (قطر),Qatar,qatar,qatar,162
Singapore (新加坡),Singapore,singapore,singapore,181
Taiwan (台湾),Taiwan,taiwan,taiwan,199
Thailand (ประเทศไทย),Thailand,thailand,thailand,202
Uganda,Uganda,uganda,uganda,213
Gambia,Gambia,gambia,gambia,80
Grenada,Grenada,grenada,grenada,85
Liberia,Liberia,liberia,liberia,116
Madagascar (Madagasikara),Madagascar,madagascar,madagascar,123
Mozambique (Moçambique),Mozambique,mozambique,mozambique,137
Somalia (Soomaaliya),Somalia,somalia,somalia,185
Zimbabwe,Zimbabwe,zimbabwe,zimbabwe,228
Fiji,Fiji,fiji,fiji,75
Angola,Angola,angola,angola,6
Antigua and Barbuda,Antigua and Barbuda,antiguaandbarbuda,antiguaandbarbuda,9
Benin (Bénin),Benin,benin,benin,23
Bangladesh (বাংলাদেশ),Bangladesh,bangladesh,bangladesh,18
Brunei (بروني),Brunei,brunei,brunei,30
India (भारत),India,india,india,97
Jordan (الأردن),Jordan,jordan,jordan,107
Macao (澳门),Macao,macao,macao,121
Malaysia (مليسيا),Malaysia,malaysia,malaysia,125
Nepal (नेपाल),Nepal,nepal,nepal,140
North Yemen (اليمن),North Yemen,northyemen,northyemen,148
United Arab Emirates (الإمارات العربية المتحدة),United Arab Emirates,unitedarabemirates,unitedarabemirates,215
Burkina Faso,Burkina Faso,burkinafaso,burkinafaso,32
Gabon,Gabon,gabon,gabon,79
Oman (عمان),Oman,oman,oman,151
Pakistan (پاکستان),Pakistan,pakistan,pakistan,152
Botswana,Botswana,botswana,botswana,27
Burundi,Burundi,burundi,burundi,33
Estonia (Eesti),Estonia,estonia,estonia,71
Faroe Islands (Føroyar),Faroe Islands,faroeislands,faroeislands,74
Latvia (Latvija),Latvia,latvia,latvia,113
Lithuania (Lietuva),Lithuania,lithuania,lithuania,119
Namibia,Namibia,namibia,namibia,139
Nicaragua,Nicaragua,nicaragua,nicaragua,144
Russia (Россия),Russia,russia,russia,165
Saint Lucia,Saint Lucia,saintlucia,saintlucia,169
Saint Vincent & The Grenadines,Saint Vincent & The Grenadines,saintvincentthegrenadines,saintvincentthegrenadines,170
San Marino,San Marino,sanmarino,sanmarino,172
Solomon Islands,Solomon Islands,solomonislands,solomonislands,184
South Africa (Suid-Afrika),South Africa,southafrica,southafrica,186
Swaziland (Swatini),Swaziland,swaziland,swaziland,194
Tahiti,Tahiti,tahiti,tahiti,198
Vanuatu,Vanuatu,vanuatu,vanuatu,220
Lebanon (لبنان),Lebanon,lebanon,lebanon,114
Sri Lanka (ශ්රී ලංකාව),Sri Lanka,srilanka,srilanka,191
Vietnam (Việt Nam),Vietnam,vietnam,vietnam,222
Yemen (اليمن),Yemen,yemen,yemen,225
Armenia (Հայաստան),Armenia,armenia,armenia,11
Aruba,Aruba,aruba,aruba,12
Azerbaijan (Azərbaycan),Azerbaijan,azerbaijan,azerbaijan,15
Belarus (Беларусь),Belarus,belarus,belarus,20
Belize,Belize,belize,belize,22
Bosnia-Herzegovina (Bosna i Hercegovina),Bosnia and Herzegovina,bosniaandherzegovina,bosniaandherzegovina,26
Cayman Islands,Cayman Islands,caymanislands,caymanislands,38
Croatia (Hrvatska),Croatia,croatia,croatia,49
Czech Republic (Česká Republika),Czech Republic,czechrepublic,czechrepublic,53
Dominica,Dominica,dominica,dominica,59
Georgia (საქართველო),Georgia,georgia,georgia,81
Guinea-Bissau (Guiné-Bissau),Guinea-Bissau,guineabissau,guineabissau,90
Liechtenstein,Liechtenstein,liechtenstein,liechtenstein,118
Macedonia (Македонија),Macedonia,macedonia,macedonia,122
Moldova,Moldova,moldova,moldova,132
Papua New Guinea (Papua Niugini),Papua New Guinea,papuanewguinea,papuanewguinea,155
Philippines (Pilipinas),Philippines,philippines,philippines,158
Rwanda,Rwanda,rwanda,rwanda,166
Saint Kitts & Nevis,Saint Kitts & Nevis,saintkittsnevis,saintkittsnevis,168
Slovakia (Slovensko),Slovakia,slovakia,slovakia,182
Slovenia (Slovenija),Slovenia,slovenia,slovenia,183
Tonga,Tonga,tonga,tonga,204
Ukraine (Україна),Ukraine,ukraine,ukraine,214
Western Samoa,Western Samoa,westernsamoa,westernsamoa,224
Cambodia (កម្ពុជា),Cambodia,cambodia,cambodia,34
Kazakhstan (Қазақстан),Kazakhstan,kazakhstan,kazakhstan,108
Kyrgyzstan (Кыргызстан),Kyrgyzstan,kyrgyzstan,kyrgyzstan,111
Maldives (Divehi Rājjēge),Maldives,maldives,maldives,126
Tajikistan (Точикистон),Tajikistan,tajikistan,tajikistan,200
Turkmenistan (Türkmenistan),Turkmenistan,turkmenistan,turkmenistan,208
Uzbekistan (Ўзбекистон),Uzbekistan,uzbekistan,uzbekistan,219
Andorra,Andorra,andorra,andorra,5
Anguilla,Anguilla,anguilla,anguilla,7
Bahamas,Bahamas,bahamas,bahamas,16
British Virgin Islands,British Virgin Islands,britishvirginislands,britishvirginislands,29
Cape Verde (Cabo Verde),Cape Verde,capeverde,capeverde,37
Central African Republic (Centrafrique),Central African Republic,centralafricanrepublic,centralafricanrepublic,39
Chad (Tchad / تشاد),Chad,chad,chad,40
D.R. Congo (R.D. Congo),D.R. Congo,drcongo,democraticrepublicofthecongo,56
Djibouti (جيبوتي),Djibouti,djibouti,djibouti,58
Equatorial Guinea (Guinea Ecuatorial),Equatorial Guinea,equatorialguinea,equatorialguinea,69
Eritrea (ኤርትራ / إرتريا),Eritrea,eritrea,eritrea,70
Mali,Mali,mali,mali,127
Montserrat,Montserrat,montserrat,montserrat,135
Seychelles,Seychelles,seychelles,seychelles,179
São Tomé e Príncipe,São Tomé e Príncipe,saotomeeprincipe,saotomeeprincipe,173
Turks and Caicos,Turks and Caicos,turksandcaicos,turksandcaicos,209
US Virgin Islands,US Virgin Islands,usvirginislands,usvirginislands,211
American Samoa,American Samoa,americansamoa,americansamoa,4
Cook Islands,Cook Islands,cookislands,cookislands,46
Laos (ນລາວ),Laos,laos,laos,112
Mongolia (Монгол Улс),Mongolia,mongolia,mongolia,133
Samoa,Samoa,samoa,samoa,171
Afghanistan (افغانستان),Afghanistan,afghanistan,afghanistan,1
New Caledonia (Nouvelle-Calédonie),New Caledonia,newcaledonia,newcaledonia,142
Serbia-Montenegro (Србија и Црна Гора),Serbia-Montenegro,serbiamontenegro,serbiamontenegro,178
Comoros (جزر القمر),Comoros,comoros,comoros,44
East Timor (Timor-Leste),East Timor,easttimor,easttimor,64
Myanmar (ြမန်မာ),Myanmar,myanmar,myanmar,138
Tuvalu,Tuvalu,tuvalu,tuvalu,210
Montenegro (Црна Гора),Montenegro,montenegro,montenegro,134
Serbia (Србија),Serbia,serbia,serbia,177
Brazil,Brazil,brazil,brazil,28
Mexico,Mexico,mexico,mexico,131
Spain,Spain,spain,spain,190
Switzerland,Switzerland,switzerland,switzerland,196
Germany,Germany,germany,germany,82
Iran,Iran,iran,iran,99
Belgium,Belgium,belgium,belgium,21
Russia,Russia,russia,russia,165
Cameroon,Cameroon,cameroon,cameroon,35
Japan,Japan,japan,japan,106
Italy,Italy,italy,italy,104
South Korea,South Korea,southkorea,southkorea,187
Croatia,Croatia,croatia,croatia,49
Netherlands,Netherlands,netherlands,netherlands,141
Greece,Greece,greece,greece,84
"rn"">Bosnia and Herzegovina",Bosnia and Herzegovina,bosniaandherzegovina,bosniaandherzegovina,26
Algeria,Algeria,algeria,algeria,3
Sweden,Sweden,sweden,sweden,195
Qatar,Qatar,qatar,qatar,162
Senegal,Senegal,senegal,senegal,176
Denmark,Denmark,denmark,denmark,57
Morocco,Morocco,morocco,morocco,136
Wales,Wales,wales,wales,223
Poland,Poland,poland,poland,159
Tunisia,Tunisia,tunisia,tunisia,206
Saudi Arabia,Saudi Arabia,saudiarabia,saudiarabia,174
Serbia,Serbia,serbia,serbia,177
Irish Free State (Saorstát Éireann),Irish Free State,irishfreestate,irishfreestate,102
Dutch East Indies (Nederlands-Indië),Dutch East Indies,dutcheastindies,dutcheastindies,62
Rhodesia,Rhodesia,rhodesia,rhodesia,163
South Yemen (اليمن),South Yemen,southyemen,southyemen,189
Guayana,Guayana,guayana,guayana,88
Guam,Guam,guam,guam,86
"(1-1, 1-0) Croatia",Croatia,croatia,croatia,49
"(0-0, 0-0) Spain",Spain,spain,spain,190
"(0-0, 0-0) Brazil",Brazil,brazil,brazil,28
"(2-2, 1-0) Argentina",Argentina,argentina,argentina,10
"(2-2, 2-0) France",France,france,france,77
