team_id,team_canonical
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antigua
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahamas
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bermuda
25,Bolivia
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,British Virgin Islands
30,Brunei
31,Bulgaria
32,Burkina Faso
33,Burundi
34,Cambodia
35,Cameroon
36,Canada
37,Cape Verde
38,Cayman Islands
39,Central African Republic
40,Chad
41,Chile
42,China
43,Colombia
44,Comoros
45,Congo
46,Cook Islands
47,Costa Rica
48,Cote d Ivoire
49,Croatia
50,Cuba
51,Curacao
52,Cyprus
53,Czech Republic
54,Czechoslovakia
55,Dahomey
56,Democratic Republic of the Congo
57,Denmark
58,Djibouti
59,Dominica
60,Dominican Republic
61,Dutch Antilles
62,Dutch East Indies
63,Dutch Guyana
64,East Timor
65,Ecuador
66,Egypt
67,El Salvador
68,England
69,Equatorial Guinea
70,Eritrea
71,Estonia
72,Ethiopia
73,FRG
74,Faroe Islands
75,Fiji
76,Finland
77,France
78,GDR
79,Gabon
80,Gambia
81,Georgia
82,Germany
83,Ghana
84,Greece
85,Grenada
86,Guam
87,Guatemala
88,Guayana
89,Guinea
90,Guinea-Bissau
91,Guyana
92,Haiti
93,Honduras
94,Hong Kong
95,Hungary
96,Iceland
97,India
98,Indonesia
99,Iran
100,Iraq
101,Ireland
102,Irish Free State
103,Israel
104,Italy
105,Jamaica
106,Japan
107,Jordan
108,Kazakhstan
109,Kenya
110,Kuwait
111,Kyrgyzstan
112,Laos
113,Latvia
114,Lebanon
115,Lesotho
116,Liberia
117,Libya
118,Liechtenstein
119,Lithuania
120,Luxembourg
121,Macao
122,Macedonia
123,Madagascar
124,Malawi
125,Malaysia
126,Maldives
127,Mali
128,Malta
129,Mauritania
130,Mauritius
131,Mexico
132,Moldova
133,Mongolia
134,Montenegro
135,Montserrat
136,Morocco
137,Mozambique
138,Myanmar
139,Namibia
140,Nepal
141,Netherlands
142,New Caledonia
143,New Zealand
144,Nicaragua
145,Niger
146,Nigeria
147,North Korea
148,North Yemen
149,Northern Ireland
150,Norway
151,Oman
152,Pakistan
153,Palestine
154,Panama
155,Papua New Guinea
156,Paraguay
157,Peru
158,Philippines
159,Poland
160,Portugal
161,Puerto Rico
162,Qatar
163,Rhodesia
164,Romania
165,Russia
166,Rwanda
167,Saarland
168,Saint Kitts & Nevis
169,Saint Lucia
170,Saint Vincent & The Grenadines
171,Samoa
172,San Marino
173,Sao Tome e Principe
174,Saudi Arabia
175,Scotland
176,Senegal
177,Serbia
178,Serbia-Montenegro
179,Seychelles
180,Sierra Leone
181,Singapore
182,Slovakia
183,Slovenia
184,Solomon Islands
185,Somalia
186,South Africa
187,South Korea
188,South Vietnam
189,South Yemen
190,Spain
191,Sri Lanka
192,Sudan
193,Surinam
194,Swaziland
195,Sweden
196,Switzerland
197,Syria
198,Tahiti
199,Taiwan
200,Tajikistan
201,Tanzania
202,Thailand
203,Togo
204,Tonga
205,Trinidad and Tobago
206,Tunisia
207,Turkey
208,Turkmenistan
209,Turks and Caicos
210,Tuvalu
211,US Virgin Islands
212,USSR
213,Uganda
214,Ukraine
215,United Arab Emirates
216,United States
217,Upper Volta
218,Uruguay
219,Uzbekistan
220,Vanuatu
221,Venezuela
222,Vietnam
223,Wales
224,Western Samoa
225,Yemen
226,Yugoslavia
227,Zambia
228,Zimbabwe
